Input,Q,P,R
어제 우리반과 옆반의 설정온도 차이 알려줘,0.9529,0.0004,0.6451
오늘 우리반과 옆반의 평균 온도차이 알려줘,0.7627,0.0003,0.5677
작년 겨울 우리반 평균온도 알려줘,5.7267,0.0001,0.5354
올해 여름 앞반 평균온도 알려줘,1.7379,0.0003,0.4291
올해 봄 옆반 제일 추웠던 날 알려줘,3.0282,0.0009,0.2772
4월 앞반 평균온도 알려줘,1.4708,0.0001,0.2612
이번달 중 우리반 온도가 가장 덜 더운날이 언제야?,1.299,0.0013,0.199
2주전 우리반과 옆반 합쳐서 설정온도가 가장 낮은날이 언제야?,0.795,0.0665,1.8223
우리반의 현재 설정 온도 알려줘,0.2401,0.0001,0.292
8일전 설정온도는?,0.6972,0.0002,0.3349
10년 전 오늘 우리반 온도는?,0.232,0.0001,0.3051
지금 4층 최대 설정온도 알려줘,0.2431,0.0001,0.3357
"우리반, 옆반, 앞반 중 가장 추운 방은?",0.2431,0.0006,0.6337
지난달 오늘 오후 2시에 옆반의 설정온도는 어땠어?,0.2322,0.0001,0.3861
옆반의 현재 온도랑 설정온도 알려줘,0.2491,0.0002,0.5048
이번주 우리반 평균 온도 알려줘,1.2406,0.0002,0.3252
지난달 설정온도 평균을 알려줘.,1.7403,0.0003,0.29
우리반 이번달 제일 추웠던 날은 언제냐?,1.7177,0.0012,0.7283
작년 옆반 가장 더웠던 달은?,12.9704,0.0007,0.2737
오늘 오전 11시에 옆반의 실내온도는 어땠어?,0.2429,0.0001,0.3793
오늘 오후 4시부터 6시까지 실내온도 평균 알려줘,0.2488,0.0002,0.4575
지난주에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,1.0122,0.002,0.8112
우리반과 옆반중 더 추운곳은 어디야?,0.4754,0.0003,0.5923
이번주 우리반과 앞반의 평균 온도 알려줘,2.9334,0.0003,0.585
현재 설정온도랑 실내온도 차이 알려줘.,0.2386,0.0002,0.6036
지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,1.982,0.0038,1.7743
이번주 우리반과 옆반의 평균 실내온도 차이 알려줘,2.5961,0.0003,0.6911
2주전 가장 더웠던 날 알려줘,0.96,0.0016,0.5988
지난 3일 동안 우리반 실내 온도 평균 값 알려줘.,0.4852,0.0002,0.3963
오늘 오후 5시에 옆반의 설정온도는 어땠어?,0.2347,0.0001,0.3647
올해 여름 우리반 실내온도 최대값과 최소값 알려줘,2.1729,0.0004,0.6638
우리반과 앞반 중 가장 더운 방은?,0.2389,0.0005,0.3901
지금 4층 평균 실내온도 알려줘,0.2378,0.0002,0.3207
이번주 우리반과 앞반의 평균 온도 알려줘,1.9173,0.0003,0.5798
현재 설정온도랑 실내온도 차이 알려줘.,0.2387,0.0002,0.5913
지난달에 설정온도와 실내온도 차이가 가장 많이 났던 날은?,3.1056,0.0018,0.8335
이번주 우리반과 옆반의 평균 실내온도 차이 알려줘,1.4673,0.0003,0.6897
2주전 가장 더웠던 날 알려줘,1.1857,0.0011,0.5378
지난 3일 동안 우리반 실내 온도 평균 값 알려줘.,0.4889,0.0002,0.3974
오늘 오후 5시에 옆반의 설정온도는 어땠어?,0.235,0.0001,0.3627
올해 여름 우리반 실내온도 최대값과 최소값 알려줘,2.8606,0.0003,0.6753
우리반과 앞반 중 가장 더운 방은?,0.2391,0.0006,0.3584
현재 4층에서 온도 22℃ 이상인 방들 알려줘,0.2427,0.0004,0.3823
3주전 온도가 22℃ 이상이었던 날짜 알려줘,1.4473,0.034,1.5488
